Loci	N30	T30	O30	N30p	T30p	O30p	N20	T20	N20p	T20p
01_109838938	-0.000	-0.000	-0.000	1.000	1.000	1.000	0.000	-0.000	1.000	1.000
01_119636207	0.000	1.000	0.684	1.000	0.020	0.020	-0.000	1.000	1.000	0.020
01_120885600	-0.164	-0.079	-0.132	0.435	0.768	0.334	-0.143	-0.069	0.584	0.840
01_122207349	0.069	0.385	0.237	0.515	0.025	0.031	0.147	0.238	0.373	0.159
01_122207372	0.069	0.385	0.237	0.491	0.027	0.039	0.147	0.238	0.375	0.160
01_124189924	-0.140	0.179	0.022	0.317	0.191	0.503	-0.185	0.192	0.256	0.234
01_125761843	0.134	-0.194	-0.056	0.408	0.282	0.265	0.111	-0.222	0.471	0.226
01_128247733	-0.037	0.477	0.252	0.944	0.100	0.150	-0.040	0.477	0.952	0.087
01_128247812	-0.015	0.483	0.306	0.983	0.087	0.103	-0.017	0.480	0.985	0.090
01_128248107	0.060	0.098	0.078	0.595	0.447	0.370	0.111	0.077	0.470	0.546
01_130768460	0.000	-0.000	-0.000	1.000	1.000	1.000	0.000	NA	1.000	NA
01_130768481	0.000	-0.000	-0.000	1.000	1.000	1.000	0.000	NA	1.000	NA
01_132161340	-0.021	NA	-0.025	0.977	NA	 0.977	-0.022	NA	0.977	NA
01_134339469	-0.036	-0.018	-0.028	0.941	0.987	0.929	-0.042	-0.018	0.926	0.987
01_134339611	-0.045	-0.030	-0.038	0.904	0.964	0.870	-0.053	-0.033	0.902	0.947
01_136262865	-0.095	-0.050	-0.071	0.463	0.520	0.311	-0.107	-0.195	0.455	0.239
01_137942480	-0.000	-0.000	-0.000	1.000	1.000	1.000	0.000	0.000	1.000	1.000
01_141416290	0.661	NA	0.661	0.050	NA	 0.050	NA	NA	NA	NA
01_141416291	NA	-0.015	-0.016	NA	0.983	 0.983	NA	-0.016	NA	0.979
01_141416449	-0.041	0.172	0.101	0.920	0.372	0.372	-0.033	-0.082	0.954	0.772
01_141747371	NA	-0.048	-0.046	NA	0.913	 0.913	NA	-0.034	NA	0.935
01_141747373	NA	-0.015	-0.013	NA	0.985	 0.985	NA	-0.017	NA	0.988
01_141747526	-0.000	-0.000	-0.000	1.000	1.000	1.000	0.000	NA	1.000	NA
01_141747584	-0.000	0.000	-0.000	1.000	1.000	1.000	0.000	-0.000	1.000	1.000
01_141747720	-0.004	0.201	0.097	0.637	0.172	0.252	0.000	0.074	0.638	0.457
01_142777398	-0.015	NA	-0.015	0.984	NA	 0.984	-0.017	NA	0.988	NA
01_143778631	0.267	-0.103	0.113	0.130	0.482	0.160	0.255	-0.097	0.147	0.509
01_148592313	0.308	0.160	0.222	0.096	0.258	0.036	0.283	0.160	0.135	0.288
01_153606830	0.022	-0.257	-0.114	0.585	0.093	0.199	-0.093	-0.274	0.456	0.112
01_165339331	-0.000	-0.000	-0.000	1.000	1.000	1.000	NA	0.000	NA	1.000
01_165339396	0.409	0.200	0.302	0.035	0.265	0.025	0.358	0.183	0.104	0.302
01_165339417	0.072	0.477	0.205	0.549	0.099	0.077	0.097	0.477	0.520	0.097
01_165358767	-0.000	-0.034	-0.027	1.000	0.954	0.954	0.000	-0.037	1.000	0.950
01_165358768	NA	-0.016	-0.017	NA	0.984	 0.984	NA	-0.018	NA	0.974
01_165359013	0.000	-0.028	-0.021	1.000	0.963	0.963	0.000	-0.031	1.000	0.957
01_167847499	-0.028	-0.030	-0.029	0.959	0.951	0.910	-0.033	-0.032	0.942	0.953
01_167847500	-0.014	-0.046	-0.036	0.989	0.903	0.893	-0.016	-0.049	0.989	0.914
01_168420638	0.226	0.319	0.285	0.245	0.064	0.019	0.213	0.077	0.299	0.564
01_173032967	0.310	0.086	0.169	0.141	0.442	0.089	0.296	-0.054	0.151	0.524
01_173528659	0.315	0.050	0.159	0.075	0.502	0.139	0.398	-0.019	0.049	0.608
01_174770998	-0.056	NA	-0.062	0.913	NA	 0.913	-0.059	NA	0.916	NA
01_174771084	0.268	0.062	0.163	0.153	0.485	0.132	0.152	0.014	0.354	0.586
01_179522560	0.412	-0.007	0.201	0.034	0.695	0.038	0.398	-0.158	0.054	0.477
01_190679640	NA	0.660	0.660	NA	0.038	 0.038	NA	0.659	NA	0.035
01_190679892	0.291	0.007	0.148	0.083	0.596	0.089	0.321	-0.059	0.091	0.519
01_195604064	0.355	0.053	0.216	0.063	0.576	0.044	0.247	0.039	0.205	0.632
01_203108252	0.360	-0.000	0.309	0.158	1.000	0.158	0.353	-0.000	0.182	1.000
01_206014856	-0.057	0.479	0.206	0.857	0.090	0.094	-0.069	0.478	0.858	0.109
01_210043055	-0.070	-0.013	-0.056	0.807	0.982	0.791	-0.051	-0.015	0.903	0.994
01_212589622	NA	-0.017	-0.017	NA	0.988	 0.988	NA	-0.018	NA	0.978
01_212589814	0.151	0.024	0.088	0.287	0.573	0.228	0.133	-0.102	0.359	0.448
01_219991945	0.241	0.140	0.187	0.144	0.336	0.057	0.094	0.160	0.482	0.280
01_220915684	-0.000	-0.000	-0.000	1.000	1.000	1.000	0.000	NA	1.000	NA
01_221138334	-0.104	0.216	0.057	0.649	0.322	0.346	-0.091	0.208	0.779	0.323
01_221356770	0.449	0.290	0.382	0.040	0.186	0.008	0.439	0.283	0.044	0.218
01_221767865	-0.138	0.131	-0.010	0.499	0.425	0.466	-0.148	0.115	0.548	0.473
01_228233101	0.338	0.147	0.259	0.046	0.370	0.028	0.156	0.176	0.351	0.334
01_233829552	-0.060	0.274	0.085	0.580	0.152	0.361	-0.216	0.118	0.275	0.462
01_233829894	NA	-0.018	-0.018	NA	0.978	 0.978	NA	-0.019	NA	0.978
01_234495783	-0.013	-0.000	-0.009	0.992	1.000	0.992	-0.016	-0.000	0.979	1.000
01_237404464	0.660	NA	0.660	0.039	NA	 0.039	0.659	NA	0.043	NA
01_238565555	0.016	0.409	0.218	0.615	0.014	0.048	-0.037	0.421	0.622	0.016
01_241183771	0.035	0.147	0.086	0.573	0.321	0.298	-0.081	0.205	0.529	0.257
01_242247854	-0.088	0.054	-0.010	0.523	0.536	0.570	-0.081	0.023	0.543	0.602
01_242247913	-0.014	NA	-0.014	0.983	NA	 0.983	0.000	NA	1.000	NA
01_242247966	0.000	-0.000	-0.000	1.000	1.000	1.000	NA	0.000	NA	1.000
01_242248019	-0.014	NA	-0.013	0.987	NA	 0.987	-0.016	NA	0.982	NA
01_242943300	-0.167	1.000	0.033	0.445	0.013	0.560	-0.170	NA	0.424	NA
01_242943433	-0.294	-0.191	-0.249	0.105	0.411	0.046	-0.304	-0.200	0.098	0.371
01_246631673	-0.028	-0.030	-0.029	0.961	0.957	0.920	-0.033	-0.016	0.946	0.981
01_252492750	-0.017	NA	-0.017	0.991	NA	 0.991	-0.020	NA	0.982	NA
01_253203925	-0.088	-0.086	-0.087	0.438	0.427	0.254	-0.202	-0.188	0.199	0.248
01_253204033	-0.029	-0.026	-0.028	0.959	0.951	0.912	-0.016	-0.015	0.989	0.978
01_253204313	0.405	0.224	0.316	0.018	0.229	0.011	0.319	0.206	0.085	0.260
01_266797020	0.400	0.214	0.310	0.035	0.160	0.007	0.519	0.160	0.006	0.322
01_269665587	0.273	0.140	0.208	0.084	0.311	0.051	0.200	0.055	0.221	0.508
01_270180721	0.588	0.069	0.318	0.007	0.482	0.006	0.537	-0.030	0.006	0.579
01_278602450	0.023	0.258	0.141	0.597	0.105	0.152	-0.043	0.132	0.550	0.334
01_281678357	-0.226	0.117	-0.038	0.171	0.351	0.326	-0.222	-0.060	0.205	0.506
01_281678752	0.149	0.297	0.224	0.298	0.101	0.043	0.065	0.277	0.520	0.139
01_281678768	0.085	0.233	0.161	0.487	0.174	0.108	-0.006	0.211	0.685	0.228
01_282192301	0.027	-0.051	-0.014	0.575	0.513	0.505	-0.237	-0.128	0.192	0.368
01_293453127	0.000	-0.013	-0.007	1.000	0.987	0.987	0.000	-0.000	1.000	1.000
01_293453128	0.000	-0.041	-0.026	1.000	0.930	0.930	0.000	-0.031	1.000	0.952
01_293453129	0.000	-0.027	-0.015	1.000	0.967	0.967	0.000	-0.015	1.000	0.989
01_293453130	0.000	-0.027	-0.015	1.000	0.954	0.954	0.000	-0.015	1.000	0.981
01_293453253	0.650	-0.043	0.299	0.003	0.551	0.012	0.598	-0.059	0.005	0.487
01_293585709	0.282	0.363	0.320	0.088	0.047	0.011	0.242	0.340	0.171	0.064
01_298437490	-0.046	NA	-0.045	0.922	NA	 0.922	-0.055	NA	0.917	NA
01_301993146	-0.134	0.053	-0.043	0.330	0.500	0.352	-0.240	-0.015	0.155	0.580
01_302929612	0.226	0.660	0.372	0.275	0.040	0.011	-0.069	0.660	0.837	0.054
01_303629686	0.527	-0.040	0.349	0.024	0.917	0.024	0.635	-0.048	0.016	0.894
01_305538566	0.333	0.228	0.282	0.037	0.130	0.012	0.310	0.133	0.102	0.387
01_313099866	NA	-0.727	-0.727	NA	0.001	 0.001	NA	-0.784	NA	0.001
01_313099870	NA	-0.767	-0.767	NA	0.001	 0.001	NA	-0.833	NA	0.001
01_313099871	NA	-0.013	-0.013	NA	0.983	 0.983	NA	-0.000	NA	1.000
01_313099875	NA	-0.520	-0.520	NA	0.001	 0.001	NA	-0.500	NA	0.004
01_318744015	-0.023	0.152	0.061	0.638	0.310	0.360	-0.163	0.074	0.336	0.506
01_318744033	0.036	0.152	0.090	0.551	0.288	0.271	-0.186	0.074	0.271	0.515
01_318744090	-0.000	-0.013	-0.008	1.000	0.984	0.984	0.000	-0.015	1.000	0.986
01_318759056	0.035	0.028	0.032	0.583	0.586	0.439	-0.081	-0.065	0.548	0.573
01_318759175	-0.027	NA	-0.027	0.968	NA	 0.968	-0.016	NA	0.984	NA
01_318759177	-0.014	NA	-0.014	0.987	NA	 0.987	-0.000	NA	1.000	NA
01_325107312	0.268	0.274	0.271	0.148	0.138	0.026	0.303	0.118	0.157	0.472
01_325862725	0.000	-0.000	-0.000	1.000	1.000	1.000	-0.000	-0.000	1.000	1.000
01_327115557	-0.014	-0.000	-0.010	0.980	1.000	0.980	-0.000	-0.000	1.000	1.000
01_328647451	-0.013	NA	-0.013	0.988	NA	 0.988	0.000	NA	1.000	NA
01_328647496	-0.057	-0.056	-0.056	0.866	0.853	0.741	-0.071	-0.065	0.825	0.861
01_329521922	0.089	0.110	0.100	0.421	0.337	0.217	-0.048	0.074	0.535	0.455
01_335345879	-0.179	0.113	-0.032	0.212	0.348	0.355	-0.114	0.070	0.400	0.494
01_339105961	0.081	-0.180	-0.077	0.491	0.258	0.397	0.062	-0.320	0.579	0.059
01_339983481	-0.016	NA	-0.015	0.981	NA	 0.981	-0.018	NA	0.978	NA
01_339983575	0.197	0.308	0.253	0.207	0.089	0.030	0.089	0.249	0.433	0.113
01_340564890	1.000	-0.026	0.397	0.012	0.965	0.012	NA	-0.015	NA	0.982
01_341241612	0.000	1.000	0.667	1.000	0.012	0.012	0.000	1.000	1.000	0.022
01_351776256	0.220	-0.026	0.149	0.283	0.962	0.283	-0.059	-0.031	0.880	0.966
01_351776337	-0.088	-0.026	-0.070	0.723	0.975	0.702	-0.071	-0.031	0.841	0.953
02_4385667	0.000	-0.000	-0.002	1.000	1.000	1.000	-0.000	-0.000	1.000	1.000
02_4385695	0.000	-0.000	-0.002	1.000	1.000	1.000	-0.000	-0.000	1.000	1.000
02_5228704	0.630	0.179	0.432	0.016	0.336	0.007	0.782	-0.065	0.023	0.862
02_7506296	NA	-0.027	-0.021	NA	0.963	0.963	NA	-0.015	NA	0.985
02_7506297	NA	-0.027	-0.021	NA	0.959	0.959	NA	-0.031	NA	0.958
02_23835526	0.000	0.000	-0.000	1.000	1.000	1.000	0.000	0.000	1.000	1.000
02_23877727	-0.000	-0.000	-0.000	1.000	1.000	1.000	0.000	0.000	1.000	1.000
02_24698394	0.070	0.170	0.117	0.463	0.231	0.182	0.089	0.119	0.461	0.403
02_31254938	0.381	-0.059	0.216	0.065	0.854	0.115	0.362	-0.067	0.149	0.864
02_35716336	0.228	0.265	0.246	0.135	0.108	0.019	0.094	0.202	0.429	0.213
02_35716522	-0.030	0.365	0.217	0.957	0.153	0.153	-0.034	0.479	0.959	0.091
02_35963652	-0.077	-0.026	-0.061	0.805	0.969	0.781	-0.094	-0.015	0.751	0.985
02_35963706	-0.072	-0.013	-0.057	0.832	0.985	0.817	-0.088	-0.016	0.776	0.986
02_35963754	-0.057	-0.013	-0.045	0.868	0.993	0.861	-0.069	-0.016	0.856	0.988
02_36057927	-0.075	-0.014	-0.059	0.811	0.988	0.800	-0.091	-0.016	0.777	0.984
02_36058025	-0.079	-0.015	-0.063	0.794	0.981	0.781	-0.094	-0.017	0.778	0.989
02_41864952	-0.013	-0.040	-0.031	0.989	0.931	0.923	0.000	-0.031	1.000	0.962
02_42422296	0.043	0.409	0.223	0.547	0.011	0.030	-0.033	0.341	0.603	0.052
02_43229121	0.080	0.002	0.046	0.410	0.657	0.357	0.046	0.074	0.554	0.532
02_52246829	-0.088	-0.048	-0.072	0.756	0.911	0.679	-0.107	-0.051	0.714	0.912
02_52247137	-0.213	0.179	-0.026	0.166	0.187	0.355	-0.185	0.256	0.249	0.137
02_54280069	0.100	0.283	0.195	0.414	0.131	0.072	-0.046	0.322	0.662	0.115
02_56553389	-0.108	-0.000	-0.095	0.669	1.000	0.669	-0.069	0.000	0.826	1.000
02_57244487	-0.014	-0.014	-0.014	0.980	0.982	0.962	-0.016	-0.015	0.989	0.984
02_57244488	-0.014	-0.000	-0.009	0.980	1.000	0.980	-0.016	-0.000	0.991	1.000
02_60935377	0.290	0.453	0.382	0.180	0.034	0.006	0.279	-0.031	0.234	0.963
02_60935491	0.290	0.229	0.258	0.187	0.248	0.059	0.279	-0.031	0.222	0.939
02_60935498	0.290	0.229	0.258	0.181	0.248	0.052	0.279	-0.031	0.235	0.945
02_67095246	-0.014	NA	-0.014	0.987	NA	0.987	-0.018	NA	0.986	NA
02_74638861	-0.015	NA	-0.016	0.988	NA	0.988	-0.017	NA	0.981	NA
02_80056933	0.370	0.069	0.196	0.090	0.511	0.058	0.205	0.034	0.326	0.605
02_81916022	0.226	-0.014	0.170	0.250	0.981	0.262	-0.069	-0.015	0.845	0.986
02_86650368	0.000	-0.027	-0.018	1.000	0.956	0.956	NA	-0.000	NA	1.000
02_86650443	NA	-0.013	-0.008	NA	0.986	0.986	NA	-0.015	NA	0.982
02_86650449	0.000	-0.013	-0.007	1.000	0.989	0.989	0.000	-0.000	1.000	1.000
02_89708636	0.343	0.102	0.236	0.075	0.502	0.072	0.338	0.143	0.078	0.416
02_91402069	NA	-0.016	-0.017	NA	0.982	0.982	NA	-0.017	NA	0.989
02_93850979	0.063	0.074	0.069	0.458	0.441	0.304	-0.048	0.043	0.523	0.535
02_105154286	-0.065	0.222	0.097	0.852	0.266	0.370	-0.074	0.216	0.837	0.302
02_116233139	-0.129	-0.031	-0.083	0.379	0.637	0.289	-0.333	-0.043	0.086	0.561
02_116427380	-0.333	0.247	-0.023	0.032	0.095	0.564	-0.378	0.256	0.040	0.152
02_116765176	0.000	-0.000	-0.000	1.000	1.000	1.000	NA	0.000	NA	1.000
02_116765242	0.355	0.167	0.253	0.177	0.358	0.074	-0.045	0.158	0.931	0.395
02_117190028	0.222	-0.121	0.036	0.267	0.584	0.311	-0.071	-0.143	0.853	0.512
02_117190124	-0.014	-0.111	-0.091	0.988	0.657	0.647	0.000	-0.088	1.000	0.785
02_117190125	-0.000	-0.045	-0.036	1.000	0.913	0.913	-0.000	-0.033	1.000	0.954
02_117190130	NA	-0.014	-0.014	NA	0.987	 0.987	NA	-0.016	NA	0.977
02_123951633	0.059	0.480	0.236	0.469	0.009	0.015	-0.073	0.463	0.481	0.014
02_132858649	NA	-0.028	-0.028	NA	0.950	 0.950	NA	-0.015	NA	0.989
02_138615473	-0.063	-0.209	-0.136	0.504	0.182	0.116	0.016	-0.277	0.626	0.103
02_139175051	0.538	-0.010	0.233	0.003	0.639	0.041	0.464	-0.081	0.018	0.491
02_140525851	0.472	0.039	0.243	0.008	0.540	0.034	0.404	-0.119	0.049	0.350
02_152666407	-0.029	-0.000	-0.022	0.957	1.000	0.957	-0.036	0.000	0.948	1.000
02_156146225	-0.002	-0.088	-0.049	0.748	0.507	0.512	-0.192	-0.130	0.343	0.443
02_156146423	0.014	-0.067	-0.029	0.649	0.566	0.541	-0.010	-0.097	0.703	0.504
02_160645366	-0.014	NA	-0.014	0.987	NA	 0.987	0.000	NA	1.000	NA
02_160645442	-0.045	0.274	0.177	0.923	0.132	0.164	-0.034	-0.100	0.943	0.716
02_163764834	-0.032	0.226	0.104	0.654	0.182	0.272	0.028	0.197	0.654	0.242
02_163765072	NA	-0.015	-0.016	NA	0.987	 0.987	NA	-0.016	NA	0.986
02_166280096	0.165	-0.039	0.067	0.231	0.567	0.326	0.031	-0.032	0.578	0.605
02_169338306	NA	0.370	0.375	NA	0.128	 0.128	NA	-0.015	NA	0.983
02_176569281	0.218	-0.015	0.102	0.151	0.599	0.240	0.177	-0.077	0.273	0.496
02_176598703	0.069	0.271	0.156	0.499	0.137	0.158	0.101	0.165	0.444	0.362
02_179854997	-0.050	-0.028	-0.043	0.933	0.952	0.889	-0.056	-0.015	0.920	0.986
02_179854999	-0.024	-0.014	-0.022	0.977	0.985	0.963	-0.027	-0.000	0.970	1.000
02_180027230	NA	0.661	0.661	NA	0.030	 0.030	NA	-0.000	NA	1.000
02_184606955	-0.028	-0.013	-0.022	0.949	0.988	0.937	-0.016	-0.000	0.984	1.000
02_186604223	0.139	0.471	0.303	0.272	0.006	0.003	0.137	0.393	0.340	0.033
02_191530914	0.034	-0.048	0.010	0.638	0.910	0.638	0.044	-0.051	0.633	0.910
02_191530921	-0.085	-0.015	-0.067	0.768	0.990	0.760	-0.102	-0.016	0.720	0.982
02_191530922	-0.103	NA	-0.104	0.711	NA	 0.711	-0.125	NA	0.651	NA
02_191531236	0.126	-0.170	-0.015	0.309	0.268	0.582	0.192	-0.228	0.247	0.185
02_196002586	-0.400	-0.167	-0.310	0.017	0.402	0.007	-0.442	-0.170	0.013	0.435
02_196002590	-0.250	-0.029	-0.207	0.164	0.966	0.159	-0.265	-0.016	0.179	0.981
02_196002591	-0.296	-0.094	-0.230	0.081	0.730	0.064	-0.348	-0.069	0.039	0.846
02_196002592	-0.186	-0.029	-0.151	0.358	0.961	0.348	-0.216	-0.016	0.270	0.983
02_196002687	-0.028	-0.000	-0.020	0.956	1.000	0.956	-0.033	0.000	0.956	1.000
02_198447915	-0.000	-0.000	-0.000	1.000	1.000	1.000	-0.000	0.000	1.000	1.000
02_198447919	-0.029	NA	-0.028	0.947	NA	 0.947	-0.034	NA	0.959	NA
02_198447920	-0.014	NA	-0.013	0.986	NA	 0.986	-0.000	NA	1.000	NA
02_198447921	NA	-0.017	-0.018	NA	0.983	 0.983	NA	-0.019	NA	0.982
02_198447922	-0.000	-0.000	-0.000	1.000	1.000	1.000	-0.000	0.000	1.000	1.000
02_198447923	-0.000	0.000	-0.000	1.000	1.000	1.000	-0.000	-0.000	1.000	1.000
02_198520168	-0.014	-0.104	-0.085	0.986	0.654	0.645	-0.000	-0.082	1.000	0.770
02_200857446	0.381	0.279	0.330	0.060	0.094	0.013	0.408	0.184	0.057	0.248
02_202627699	-0.152	-0.068	-0.121	0.467	0.817	0.384	-0.148	-0.082	0.548	0.765
02_204979195	0.000	-0.000	-0.000	1.000	1.000	1.000	0.000	-0.000	1.000	1.000
02_206298951	0.268	0.119	0.195	0.133	0.355	0.051	0.211	0.014	0.224	0.621
02_208295064	0.039	0.101	0.068	0.534	0.407	0.359	0.143	0.055	0.354	0.521
02_208348450	-0.014	NA	-0.014	0.984	NA	 0.984	-0.016	NA	0.986	NA
02_210284142	0.305	0.298	0.302	0.068	0.058	0.008	0.243	0.192	0.193	0.227
02_214649984	0.167	-0.000	0.148	0.372	1.000	0.372	0.208	0.000	0.332	1.000
02_214649995	0.660	NA	0.660	0.051	NA	 0.051	-0.000	NA	1.000	NA
02_224122072	-0.014	-0.014	-0.014	0.988	0.990	0.978	-0.017	-0.015	0.988	0.986
02_225059349	-0.000	0.000	-0.000	1.000	1.000	1.000	0.000	0.000	1.000	1.000
02_230042877	-0.066	0.127	0.027	0.478	0.349	0.382	-0.151	0.099	0.316	0.412
02_234018912	0.164	0.180	0.172	0.257	0.237	0.075	0.104	0.106	0.399	0.401
02_235378380	0.351	0.088	0.214	0.082	0.457	0.046	0.102	-0.038	0.499	0.657
02_238436408	0.301	-0.113	0.084	0.088	0.354	0.214	0.356	-0.166	0.061	0.250
02_238436517	0.000	-0.000	-0.000	1.000	1.000	1.000	NA	NA	NA	NA
02_238436524	0.000	1.000	0.661	1.000	0.017	0.017	NA	NA	NA	NA
02_238436531	-0.000	-0.000	-0.000	1.000	1.000	1.000	NA	NA	NA	NA
02_238436574	-0.000	0.000	-0.000	1.000	1.000	1.000	NA	NA	NA	NA
02_249181369	-0.075	-0.373	-0.292	0.800	0.019	0.016	-0.088	-0.362	0.782	0.038
02_249276520	0.000	-0.000	-0.000	1.000	1.000	1.000	0.000	-0.000	1.000	1.000
02_252747342	0.000	-0.029	-0.022	1.000	0.950	0.950	NA	-0.032	NA	0.951
02_255951017	0.142	0.174	0.161	0.339	0.218	0.098	0.068	0.165	0.573	0.279
02_258380137	0.335	-0.147	0.138	0.057	0.454	0.088	0.195	-0.158	0.274	0.438
02_258380450	-0.045	-0.094	-0.075	0.924	0.751	0.699	-0.055	-0.088	0.890	0.790
02_258446552	0.265	0.032	0.161	0.144	0.628	0.111	0.247	0.039	0.184	0.635
02_259695762	-0.015	NA	-0.016	0.990	NA	 0.990	-0.017	NA	0.978	NA
02_259695901	0.000	0.000	-0.000	1.000	1.000	1.000	0.000	-0.000	1.000	1.000
02_259695908	0.658	NA	0.657	0.063	NA	 0.063	0.657	NA	0.064	NA
02_259732779	-0.000	-0.000	-0.000	1.000	1.000	1.000	0.000	0.000	1.000	1.000
02_259886650	NA	-0.049	-0.049	NA	0.915	 0.915	NA	-0.033	NA	0.956
02_265760565	0.000	0.552	0.277	0.644	0.002	0.006	0.042	0.471	0.587	0.005
02_266712293	-0.000	-0.000	-0.000	1.000	1.000	1.000	NA	NA	NA	NA
02_266712316	-0.000	-0.000	-0.000	1.000	1.000	1.000	NA	0.000	NA	1.000
02_266712319	-0.029	NA	-0.029	0.958	NA	 0.958	-0.017	NA	0.990	NA
02_266712342	-0.015	NA	-0.016	0.985	NA	 0.985	0.000	NA	1.000	NA
02_269485868	0.160	0.179	0.169	0.277	0.244	0.104	0.065	0.074	0.491	0.504
03_1472719	0.500	-0.086	0.289	0.064	0.755	0.070	0.490	-0.100	0.086	0.713
03_6761764	-0.022	0.316	0.149	0.599	0.049	0.131	0.055	0.267	0.508	0.109
03_8185684	-0.000	0.000	-0.000	1.000	1.000	1.000	NA	-0.000	NA	1.000
03_14594806	0.000	-0.031	-0.022	1.000	0.958	0.958	0.000	-0.016	1.000	0.979
03_17126911	0.191	0.327	0.258	0.187	0.041	0.010	0.077	0.338	0.481	0.056
03_28241934	-0.056	-0.054	-0.055	0.880	0.877	0.768	-0.051	-0.065	0.901	0.879
03_28242119	-0.129	-0.091	-0.112	0.566	0.737	0.406	-0.132	-0.103	0.602	0.675
03_28242167	-0.094	-0.141	-0.126	0.717	0.343	0.270	-0.071	-0.151	0.866	0.352
03_29871827	-0.060	-0.086	-0.069	0.580	0.750	0.483	-0.081	-0.100	0.556	0.701
03_41059396	0.050	0.135	0.091	0.497	0.315	0.255	-0.002	-0.005	0.658	0.718
03_41059728	-0.016	NA	-0.014	0.985	NA	0.985	0.000	NA	1.000	NA
03_45131750	-0.345	-0.167	-0.274	0.039	0.437	0.020	-0.348	-0.158	0.076	0.436
03_45131758	-0.014	-0.000	-0.009	0.982	1.000	0.982	0.000	NA	1.000	NA
03_46630723	-0.000	-0.000	-0.000	1.000	1.000	1.000	0.000	-0.000	1.000	1.000
03_51451777	-0.104	-0.015	-0.084	0.671	0.987	0.662	-0.088	-0.016	0.784	0.981
03_51451787	-0.066	0.081	0.005	0.465	0.435	0.474	-0.151	0.082	0.333	0.452
03_54352496	0.000	-0.000	-0.000	1.000	1.000	1.000	NA	0.000	NA	1.000
03_54352534	-0.000	-0.000	-0.000	1.000	1.000	1.000	NA	0.000	NA	1.000
03_63567930	0.035	0.173	0.099	0.569	0.275	0.203	-0.046	0.039	0.636	0.603
03_64771500	-0.014	NA	-0.014	0.989	NA	0.989	NA	NA	NA	NA
03_69938466	-0.029	-0.000	-0.022	0.953	1.000	0.953	-0.033	-0.000	0.955	1.000
03_72032320	-0.153	0.363	0.040	0.466	0.165	0.267	-0.127	0.477	0.601	0.120
03_72032321	-0.063	-0.088	-0.077	0.868	0.773	0.670	-0.033	-0.077	0.963	0.837
03_72032323	-0.046	0.479	0.229	0.919	0.099	0.099	-0.033	0.659	0.930	0.050
03_72032339	-0.015	-0.000	-0.010	0.979	1.000	0.979	-0.016	NA	0.985	NA
